index,input,type,A,B,C,D,E,F,summary,A_c,B_c,C_c,D_c,E_c,F_c,sentiment_gpt
2076,"AIの紛い物が日本のサブカルチャーに対して日本の資源ではなくなる状況を引き起こしている。
AIの規制が海外では始めている。",規範的主張,AIの紛い物,日本のサブカルチャーに対して日本の資源ではなくなる状況を引き起こしている,AIの規制,海外では始めている,NA,NA,AIの紛い物が日本のサブカルチャーに対して日本の資源ではなくなる状況を引き起こしているから、AIの規制が海外では始めているべきである。,2501,444,12,4623,2960,2960,0.1
2077,"AI生成物が嫌がらせやディープフェイク、脅迫に対して様々な問題を引き起こしている。
AIの使用が全面的な禁止である。",要望,AI生成物,嫌がらせやディープフェイク、脅迫に対して様々な問題を引き起こしている,NA,NA,AIの使用,全面的な禁止,AI生成物が嫌がらせやディープフェイク、脅迫に対して様々な問題を引き起こしているから、AIの使用を全面的に禁止して欲しい。,0,4729,2960,2960,13,122,0.1
2078,"AI技術その物が悪くないとはいえ。
法整備が急ぐべきである。",規範的主張,AI技術その物,悪くない,法整備,急ぐべき,NA,NA,AI技術その物が悪くないから法整備が急ぐべきである。,10,245,329,185,2960,2960,0.2
2079,"AI生成によるフェイクニュースが問題になっていることが甘い考えは人間の悪意の前には無意味である。
著作権を与えたり、データを無断使用できるようにすることが賛成できない。",規範的主張,AI生成によるフェイクニュース,問題になっている,著作権を与えたり、データを無断使用,賛成できない,NA,NA,AI生成によるフェイクニュースが問題になっているから、著作権を与えたり、データを無断使用できるようにすることは賛成できない。,3778,69,3582,3491,2960,2960,0.1
2080,"生成AIが手描きとAI絵に対して判別がつかずトラブルになる状況を引き起こしている。
生成AIが規制もしくは免許制にして欲しい。",要望,生成AIが手描きとAI絵に対して判別がつかず,トラブルになる状況を引き起こしている,NA,NA,生成AI,規制もしくは免許制にして欲しい,生成AIが手描きとAI絵に対して判別がつかずトラブルになる状況を引き起こしているから、生成AIに対して規制もしくは免許制にして欲しい。,110,111,2960,2960,0,92,0.1
2081,"作家の作品を無断で生成AIに取り込まれていけばが作家に対して筆を折る人が現れる。
生成AIに対してが厳しく対応する必要がある。",規範的主張,作家の作品を無断で生成AIに取り込まれていけば,作家に対して筆を折る人が現れる,生成AIに対して,厳しく対応する必要,NA,NA,作家の作品を無断で生成AIに取り込まれていけば作家に対して筆を折る人が現れるから生成AIに対して厳しく対応する必要がある。,3204,3091,0,2390,2960,2960,0.1
2082,"生成AIが技術と文化の発展に対して意義を失わせ阻害している。
生成AIの利用が撤回されるべきである。",規範的主張,生成AIが,技術と文化の発展を阻害,生成AIの利用,撤回,NA,NA,生成AIが技術と文化の発展を阻害しているから、生成AIの利用が撤回されるべきである。,0,1835,0,3828,2960,2960,0.1
2083,"AIが著作権侵害に対して容易にしている。
規制当局がAIの使用を規制してほしい。",要望,AIが著作権侵害に対して,容易にしている,NA,NA,規制当局,AIの使用を規制,AIが著作権侵害に対して容易にしているから、規制当局に対してAIの使用を規制して欲しい。,0,1022,2960,2960,369,12,0.1
2084,"生成AIの技術が人間社会に対して支える技術になり得る状況を引き起こしている。
生成AIの利用方法がきちんと法整備を進めるべきである。",規範的主張,生成AIの技術,人間社会に支える技術,利用方法の法整備,進めるべき,NA,NA,生成AIの技術が人間社会に支える技術だから、利用方法の法整備を進めるべきである。,10,4331,1616,2583,2960,2960,0.2
2085,"生成AIの規制が緩く、無許可で他者の画像や音声データが学習に使用可能な場合が海外の音楽やイラストに対して海外の創作物を使用したAI生成物が生じる。
生成AIが強く規制されるべきである。",規範的主張,生成AIの規制,緩い,生成AI,強く規制されるべき,NA,NA,生成AIの規制が緩いから生成AIは強く規制されるべきである。,44,2785,0,18,2960,2960,0.1
2086,"生成AIが著作権者の既存の画像・音声に対して無断コラージュを行っている。
生成AIが規制されるべきである。",規範的主張,生成AIが著作権者の既存の画像・音声に対して無断コラージュを行っている,NA,生成AI,規制されるべき,NA,NA,生成AIが著作権者の既存の画像・音声に対して無断コラージュを行っているから、生成AIは規制されるべきである。,2258,2960,0,18,2960,2960,0.1
2087,"AIによるコンテンツの生成が日本の財産である貴重な文化に対して衰退していく可能性が高い。
AIによるコンテンツの生成が法的にしっかり整備を行う必要がある。",規範的主張,AIの生成,文化の衰退,法的整備,必要,NA,NA,AIの生成が文化の衰退につながるから法的整備が必要である。,0,152,329,39,2960,2960,0.2
2088,"生成AIを利用する方が生成AIの利用に対して「AIに指示をした＝自分自身の筆で描いた」と捉えている状況を引き起こしている。
生成AIの利用に関する法制度が明確な線引きを整える必要が高いである。",規範的主張,生成AIの利用,法制度の明確な線引きが必要,法制度の整備,急務,NA,NA,生成AIの利用は法制度の明確な線引きが必要だから法制度の整備が急務であるべきである。,0,3641,1492,4422,2960,2960,0.2
2089,"生成AIの技術が創作の分野に対して自己表現や価値を奪う重大な問題を引き起こしている。
生成AIの技術が絶対に反対である。",規範的主張,生成AIの技術,創作の分野に自己表現や価値を奪う問題,生成AIの技術,絶対に反対,NA,NA,生成AIの技術が創作の分野に自己表現や価値を奪う問題を引き起こしているから生成AIの技術は絶対に反対であるべきである。,10,746,10,2747,2960,2960,0.1
2090,"生成AIの規制が著作権法にある「文化の発展に寄与すること」を阻害されてはならない。
生成AIを用いた創作が手放すことができない技術である。",規範的主張,生成AIの規制,著作権法にある文化の発展に寄与することを阻害されてはならない,生成AIを用いた創作,手放すことができない技術,NA,NA,生成AIの規制は著作権法にある文化の発展に寄与することを阻害されてはならないから、生成AIを用いた創作が手放すことができない技術であるべきである。,44,1588,0,4279,2960,2960,0.1
2091,"AIが絵を描く仕事に対して仕事を奪っている。
政府がAIの規制を求める。",規範的主張,AIが絵を描く,仕事を奪っている,政府,AIの規制,NA,NA,AIが絵を描くことで仕事を奪っているから、政府はAIの規制を求めるべきである。,0,164,2383,12,2960,2960,0.1
2092,"生成AIが好きな作家さんや漫画家に対して筆を折らせている。
生成AIによる他人の作品の模倣が許されるべきではない。",規範的主張,生成AIが好きな作家,筆を折らせている,生成AIによる模倣,許されるべきではない,NA,NA,生成AIが好きな作家に筆を折らせているから、生成AIによる模倣は許されるべきではない。,2107,365,126,114,2960,2960,0.1
2093,"AIを使用する方々がイラストレーターに対して嫌がらせを引き起こしている。
AI技術がストップさせる必要はない。",要望,AIを使用する方々,イラストレーターに対して嫌がらせを引き起こしている,NA,NA,AI技術,ストップさせる必要はない,AIを使用する方々がイラストレーターに対して嫌がらせを引き起こしているから、AI技術に対してストップさせる必要はないとして欲しい。,13,14,2960,2960,10,1655,0.2
2094,"生成AIによって多くの方が美しい絵を手軽に生成できる状況が尊敬する作者さん方の尊厳を踏み躙ってまでなされることではない。
個人が勝手にブランドロゴや背景に使う絵を描くことが避けるべき状態である。",規範的主張,生成AIによる,美しい絵生成,ブランドロゴ使用,避けるべき状態,NA,NA,生成AIによる美しい絵生成は尊敬する作者さん方の尊厳を踏み躙ってまでなされることではないから、個人がブランドロゴや背景に使う絵を描くことが避けるべき状態である。,0,3787,1896,4974,2960,2960,0.2
2095,"AI生成画像の技術が実在の人物の人権に対して侵害している状況を引き起こしている。
技術の発展が人権が守られた上での発展でなければならない。",規範的主張,AI生成画像の技術,実在の人物の人権に対して侵害している状況,技術の発展,人権が守られた上での発展,NA,NA,AI生成画像の技術が実在の人物の人権に対して侵害している状況だから、技術の発展は人権が守られた上での発展でなければならない。,8,1056,319,5110,2960,2960,0.1
2096,"生成AIがイラストレーターや漫画家の絵柄に対して不信感を拭えず不安を引き起こしている。
AI技術の発展が明確なルールを定めるべきである。",規範的主張,生成AIがイラストレーター,不信感を拭えず不安,AI技術の発展,明確なルールを定めるべき,NA,NA,生成AIがイラストレーターや漫画家の絵柄に対して不信感を拭えず不安を引き起こしているから、AI技術の発展は明確なルールを定めるべきである。,0,1548,10,4706,2960,2960,0.1
2097,"生成AIが筆者個人への絵の依頼に対して来なくなる可能性がある。
規制機関が生成AIを規制してほしい。",要望,生成AIが筆者個人への絵の依頼,来なくなる可能性がある,NA,NA,規制機関,生成AIを規制してほしい,生成AIが筆者個人への絵の依頼に対して来なくなる可能性があるから、規制機関に対して生成AIを規制して欲しい。,4890,2870,2960,2960,2613,45,0.1
2099,"生成AIの学習に人の作品が必要不可欠であることがなんの見返りもなくいいように作品を使われるクリエイターの利益損失は計り知れない状況である。
知的財産を守る責任者が知的財産を守ってほしい。",要望,生成AIの学習,人の作品が必要不可欠,NA,NA,知的財産を守る責任者,知的財産を守ってほしい,生成AIの学習に人の作品が必要不可欠だから、知的財産を守る責任者に知的財産を守ってほしい。,7,5096,2960,2960,3889,4494,0.1
2101,"悪質な生成AI使用者がイラストレーターに対して絵柄をコピーされるなどして被害を受けている。
政府が生成AIは規制、もしくは免許制にして頂きたい。",要望,悪質な生成AI使用者,イラストレーターに被害,NA,NA,政府,生成AIを規制または免許制に,悪質な生成AI使用者がイラストレーターに被害を与えているから、政府に対して生成AIを規制または免許制にして欲しい。,0,40,2960,2960,2383,115,0.1
2102,"生成AIが創作物に対して社会的地位の向上や称賛、評価に繋がらない状況を引き起こしている。
生成AIの利用が全面的に反対である。",規範的主張,生成AIが創作物に,社会的地位の向上や称賛、評価に繋がらない,生成AIの利用,全面的に反対,NA,NA,生成AIが創作物に社会的地位の向上や称賛、評価に繋がらないから、生成AIの利用は全面的に反対であるべきである。,0,4988,0,219,2960,2960,0.1
2103,"AI生成画像がインターネット上に対してあふれている。
デマが拡散できるツールが大きな規制等を行うべきである。",規範的主張,AI生成画像,インターネット上にあふれている,デマの拡散ツール,大きな規制を行うべき,NA,NA,AI生成画像がインターネット上にあふれているから、デマの拡散ツールは大きな規制を行うべきである。,0,753,1820,1617,2960,2960,0.2
2104,"生成AIの悪用と作家個人への攻撃がクリエイターを目指す人々に対して悪影響を与えている。
法規制が豊かで安全な創作活動の維持に繋がると考える。",規範的主張,生成AIの悪用,作家個人への攻撃,法規制,創作活動の維持,NA,NA,生成AIの悪用と作家個人への攻撃がクリエイターを目指す人々に対して悪影響を与えているから、法規制が創作活動の維持に繋がるべきである。,0,2226,286,4450,2960,2960,0.1
2105,"生成AIシステムが日本の商品に対して簡単に模倣される状況を引き起こしている。
生成AIシステムが一度停止させるべきである。",規範的主張,生成AIシステム,模倣される状況,生成AIシステム,一度停止,NA,NA,生成AIシステムが模倣される状況だから生成AIシステムは一度停止であるべきである。,0,4278,0,1464,2960,2960,0.1
2106,"SNSでのAIについての議論が感情論が先走り議論をする場ではなくなっている。
法の改正を行うべき機関が今まで培ってきたクリエイターとこれから創作活動を始める方のために終止符を打ってほしい。",要望,SNSでのAI,感情論が先走り,NA,NA,法の改正を行うべき機関,終止符を打ってほしい,SNSでのAIについての議論が感情論が先走りだから、法の改正を行うべき機関に終止符を打ってほしい。,3813,1365,2960,2960,3921,1846,0.2
2107,"生成AIが創作物に対して著作権の侵害となる可能性が高い状況を引き起こしている。
インターネット上に公開されている創作物のほとんどが容易にアクセス可能なものである。",規範的主張,生成AI,著作権の侵害,創作物の保護,最優先事項,NA,NA,生成AIが著作権の侵害となる可能性が高いから、創作物の保護が最優先事項であるべきである。,0,15,3687,3509,2960,2960,0.2
2108,"極端な著作権法第30条の４ただし書による権利制限の対象利用制限がAI開発に対して阻害要因となっている。
著作権法の解釈がAI開発や利用サイドを考慮したものであるべきである。",規範的主張,著作権法第30条の４ただし書,AI開発に対して阻害要因,著作権法の解釈,AI開発や利用サイドを考慮したもの,NA,NA,著作権法第30条の４ただし書がAI開発に対して阻害要因であるから、著作権法の解釈はAI開発や利用サイドを考慮したものであるべきである。,217,2167,3739,3982,2960,2960,0.1
2109,"AI学習元の著作者の許可なくが著作者自身の努力に対して無視している。
AI利用者が著作者への利益を還元する制度や仕組みが必要である。",規範的主張,AI学習元の著作者,許可なく無視,AI利用者,利益を還元すべき,NA,NA,AI学習元の著作者の許可なく無視しているから、AI利用者は利益を還元すべきである。,4395,3868,99,1932,2960,2960,0.1
2112,"生成AIによる製作物が絵画や写真ではなく切り貼り・コラージュに準ずるものとして扱うべきである。
二次的な加工の加えられていないAI生成画像が著作権は製作者に認められないことを原則とするべきである。",規範的主張,生成AIによる製作物,切り貼り・コラージュに準ずるもの,AI生成画像,著作権は製作者に認められない,NA,NA,生成AIによる製作物が切り貼り・コラージュに準ずるものとして扱うべきであるから、AI生成画像には著作権は製作者に認められないことが原則であるべきである。,0,4096,0,15,2960,2960,0.1
2113,"生成AIがクリエイター達に対して筆を折ることに繋がっている。
生成AIによる創作物が規制あるいは禁止であるべきである。",規範的主張,生成AIがクリエイター達に,筆を折ることに繋がっている,生成AIによる創作物,規制あるいは禁止であるべき,NA,NA,生成AIがクリエイター達に筆を折ることに繋がっているから、生成AIによる創作物は規制あるいは禁止であるべきである。,0,3081,0,3867,2960,2960,0.1
2116,"生成AIがイラストレーターに対して精神的な負担をかけている。
生成AIによって作られたものが生成AIによって作られたものであるということを作中に明記することを義務づけてほしい。",規範的主張,生成AIがイラストレーターに,精神的な負担をかけている,作中に明記すること,義務,NA,NA,生成AIがイラストレーターに精神的な負担をかけているから、作中に明記することを義務づけるべきである。,0,918,3948,130,2960,2960,0.1
2118,"生成AIが作家の作品に対して学習対象にされる状況を引き起こしている。
生成AIの規制が必要である。",規範的主張,生成AI,学習対象にされる状況,生成AIの規制,必要,NA,NA,生成AIが学習対象にされる状況だから生成AIの規制が必要である。,0,505,44,39,2960,2960,0.1
2119,"生成AIの学習過程が著作人格権に対して侵害している。
国が関連法の策定に対して必要である。",規範的主張,生成AIの学習過程,著作人格権に対して侵害,国,関連法の策定が必要,NA,NA,生成AIの学習過程が著作人格権に対して侵害しているから、国は関連法の策定が必要である。,7,357,49,3054,2960,2960,0.2
2121,"AIが製作者に対して筆を折ることがある。
規制当局がAI作品は規制してほしい。",要望,AIが製作者,筆を折ることがある,NA,NA,規制当局,AI作品を規制してほしい,AIが製作者に対して筆を折ることがあるから、規制当局に対してAI作品を規制してほしい。,0,1977,2960,2960,369,189,0.1
2122,"生成AIが正しい情報に対してたどり着きにくくしている。
政府が免許制など節度ある使用をして欲しい。",要望,生成AIが正しい情報,たどり着きにくくしている,NA,NA,政府,免許制など節度ある使用,生成AIが正しい情報にたどり着きにくくしているから、政府に対して免許制など節度ある使用をして欲しい。,581,3567,2960,2960,2383,1338,0.2
2123,"AIの性能向上がオリジナルとの見分けに対してますますつかなくなっていく。
AIに対する法による規制または免許制が早急に実施すべきである。",規範的主張,AIの性能向上,オリジナルとの見分けがつかなくなる,法による規制または免許制,早急に実施すべき,NA,NA,AIの性能向上がオリジナルとの見分けがつかなくなるから、法による規制または免許制が早急に実施すべきである。,619,3136,17,185,2960,2960,0.1
2125,"生成AIがクリエイターたちに対して精神的に追い込んでいる。
生成AIによる創作物の学習が規制されるべきである。",規範的主張,生成AIが,クリエイターたちを精神的に追い込んでいる,生成AIによる創作物の学習,規制されるべき,NA,NA,生成AIがクリエイターたちを精神的に追い込んでいるから、生成AIによる創作物の学習が規制されるべきである。,0,885,7,18,2960,2960,0.1
2126,"AI生成物が著作物の販路に対して検索性が損なわれることにより阻害している。
事業者が著作権侵害後の収束化を迅速に行うことを考慮して欲しい。",要望,AI生成物,著作物の販路に対して検索性が損なわれる,NA,NA,事業者,著作権侵害後の収束化を迅速に行う,AI生成物が著作物の販路に対して検索性が損なわれることにより、事業者に対して著作権侵害後の収束化を迅速に行って欲しい。,0,739,2960,2960,792,1591,0.1
2127,"創作を行うAIがクリエイターの仕事に対して代替に過ぎない。
創造を行う人間が適切に評価されて生活できるようにして欲しい。",要望,創作を行うAI,クリエイターの仕事に対して代替に過ぎない,NA,NA,創造を行う人間,適切に評価されて生活できるように,創作を行うAIがクリエイターの仕事に対して代替に過ぎないから、創造を行う人間が適切に評価されて生活できるようにして欲しい。,0,3005,2960,2960,108,4962,0.1
2129,"生成AIが権利侵害を引き起こしている。
生成AI技術が権利を持つ者から合意の取れたデータ以外は使用してはいけないと規制すべきである。",規範的主張,生成AIが権利侵害,引き起こしている,生成AI技術,規制すべき,NA,NA,生成AIが権利侵害を引き起こしているから生成AI技術は規制すべきである。,0,3212,10,18,2960,2960,0.1
2130,"手描きとAI絵の判別がトラブルにならないか不安である。
生成AIが規制もしくは免許制にして欲しい。",要望,手描きとAI絵の判別,トラブルにならないか不安,NA,NA,生成AI,規制もしくは免許制にして欲しい,手描きとAI絵の判別がトラブルにならないか不安だから、生成AIに対して規制もしくは免許制にして欲しい。,234,2427,2960,2960,0,92,0.1
2132,"無断学習がクリエイターの創作に対してクリエイターが創作を辞めてしまう状況を引き起こしている。
無断学習による作成ペースと数が早々に規制されるべきである。",規範的主張,無断学習,クリエイターの創作に対して,作成ペースと数,早々に規制されるべき,NA,NA,無断学習がクリエイターの創作に対してだから作成ペースと数が早々に規制されるべきである。,269,192,2485,4104,2960,2960,0.1
2133,"AIが好きな作家の作品に対して真似した作品を作り上げている。
法制化機関がAIに関する法律を作り上げてほしい。",要望,AIが好きな作家,真似した作品を作り上げている,NA,NA,法制化機関,AIに関する法律を作り上げてほしい,AIが好きな作家が真似した作品を作り上げているから、法制化機関に対してAIに関する法律を作り上げてほしい。,4996,737,2960,2960,2568,462,0.1
2135,"AI生成が二次創作である。
AI開発者が著作権で守られるべき元素材の著作権を守って欲しい。",要望,AI生成,二次創作である,NA,NA,AI開発者,著作権で守られるべき元素材の著作権を守る,AI生成が二次創作であるから、AI開発者に対して著作権で守られるべき元素材の著作権を守って欲しい。,0,224,2960,2960,0,2416,0.2
2136,"生成AIのデータセットが著作権者の利益に対して侵害し続けるものになりうる。
生成AIの著作権まわりに関する法律が著作者全員の納得が得られるものでない限り。",要望,生成AIのデータセット,著作権者の利益に対して侵害し続けるもの,NA,NA,生成AIの著作権まわりに関する法律,著作者全員の納得が得られるものでない限り,生成AIのデータセットが著作権者の利益に対して侵害し続けるものだから、生成AIの著作権まわりに関する法律に対して著作者全員の納得が得られるものでない限りをして欲しい。,41,15,2960,2960,0,4619,0.1
2138,"海賊版等の学習が問題とされることが学習ではなく海賊版が問題であることを切り分けて考えなければならないと思う。
学習に制限がかかればが我々クリエイターの創作活動に支障が出てしまう。",要望,海賊版等の学習,問題とされる,NA,NA,クリエイター,創作活動に支障が出ないように,海賊版等の学習が問題とされるから、クリエイターに対して創作活動に支障が出ないようにして欲しい。,118,69,2960,2960,4061,4343,0.2
2139,"特定の画風に特化した生成AIが著作物性の判別に対して人間が制作したものかAIによって生成されたものなのか判別がつかない状況を引き起こしている。
特定のクリエイターの画風を模倣したイラストを生成する無許諾のAIと任意のイラストを読み込ませることで類似のイラストを生成するAIが法律による規制が必要である。",規範的主張,特定の画風,著作物性の判別に対して人間が制作したものかAIによって生成されたものか判別がつかない,無許諾のAIと任意のイラストを読み込ませるAI,法律による規制が必要,NA,NA,特定の画風に特化した生成AIが著作物性の判別に対して人間が制作したものかAIによって生成されたものか判別がつかない状況を引き起こしているから、無許諾のAIと任意のイラストを読み込ませるAIには法律による規制が必要である。,879,4650,2886,18,2960,2960,0.1
2141,"生成AIが好きな作家さんに対して筆を折りオリジナルを作る道を断たれる状況を引き起こしているかもしれない。
規制当局が生成AIを規制するか免許制にすること。",規範的主張,生成AIが好きな作家,オリジナルを作る道を断たれる,規制当局,生成AIを規制するか免許制にする,NA,NA,生成AIが好きな作家がオリジナルを作る道を断たれるから、規制当局は生成AIを規制するか免許制にするべきである。,2107,2603,369,115,2960,2960,0.1
2143,"生成AIの透明性不明瞭による被害が立ち止まり法整備を整えるべきである。
生成AIの学習対象の現状の状態が放置するべきではない。",規範的主張,生成AIの透明性,不明瞭による被害,法整備,整えるべき,NA,NA,生成AIの透明性が不明瞭による被害だから法整備を整えるべきである。,2465,3635,329,244,2960,2960,0.2
2145,"AI画像の使い手がクリエイターの評判に対して悪意を持ってなりすましを行い失言や暴言を繰り返し当人の知らぬ所で評判を落としている。
AI画像生成者がモラルを持つべきである。",規範的主張,AI画像の使い手,クリエイターの評判に対して悪意を持ってなりすましを行い失言や暴言を繰り返し当人の知らぬ所で評判を落としている,AI画像生成者,モラルを持つべき,NA,NA,AI画像の使い手がクリエイターの評判に対して悪意を持ってなりすましを行い失言や暴言を繰り返し当人の知らぬ所で評判を落としているから、AI画像生成者はモラルを持つべきである。,3473,2714,0,1798,2960,2960,0.2
2146,"生成AIが社会に対して社会的な混乱を招く状況を引き起こしている。
生成AIの利用が一旦きつく規制し、法整備を最低限整えてから再度利用できるようにすべきである。",規範的主張,生成AIが社会に,混乱を招く状況,法整備,最低限整える,NA,NA,生成AIが社会に混乱を招く状況だから法整備を最低限整えるべきである。,362,2486,329,3250,2960,2960,0.1
2150,"AIによる著作物の学習を自ら作成したもののみに限定するという考え方が生成AIによる著作物の学習に対して駄作ともいえぬ、他者の努力にただ乗りした見るに耐えないものが世に溢れ出る状況を引き起こしている。
政府が日本の素晴らしい文化を殺すようなことをしないでほしい。",要望,AIによる著作物の学習,他者の努力にただ乗り,NA,NA,政府,日本の素晴らしい文化を殺すことをしない,AIによる著作物の学習が他者の努力にただ乗りだから、政府に対して日本の素晴らしい文化を殺すことをしないで欲しい。,7,1232,2960,2960,2383,1540,0.1
2152,"AI生成物が著作権侵害に対して取り締まることができない状況を引き起こしている。
AI生成技術の発展に伴う法整備の遅れが早急に柔軟に行うべきである。",規範的主張,AI生成物,著作権侵害に対して取り締まることができない,法整備の遅れ,早急に柔軟に行うべき,NA,NA,AI生成物が著作権侵害に対して取り締まることができない状況だから、法整備の遅れは早急に柔軟に行うべきである。,0,15,1863,1611,2960,2960,0.1
2155,"AIの起用が画家に対して廃業し日本の芸術及びサブカルチャーが衰退する。
政府が考え直しをお願いする。",要望,AIの起用,画家に対して廃業,NA,NA,政府,考え直しをお願い,AIの起用が画家に対して廃業だから、政府に対して考え直しをお願いする。,13,4700,2960,2960,2383,3449,0.1
2157,"アイデアに侵害が加わることが創作に対して発展ができない状況を引き起こしている。
作風が極めて似ている生成物が罰せられるべきである。",規範的主張,アイデアに侵害,創作の発展不可,作風似ている生成物,罰せられるべき,NA,NA,アイデアに侵害が加わることが創作の発展ができない状況だから、作風が極めて似ている生成物は罰せられるべきである。,2588,1818,999,163,2960,2960,0.2
2158,"生成AIによる声や絵の絵柄の盗作とも言うべき学習が日本の特産品とも言うべき芸術文化に対して確実に衰退してしまう状況を引き起こしている。
政府が一刻も早い生成AIの規制を求める。",要望,生成AIによる声や絵の絵柄の盗作,日本の芸術文化に衰退を引き起こす,NA,NA,政府,生成AIの規制を一刻も早く求める,生成AIによる声や絵の絵柄の盗作が日本の芸術文化に衰退を引き起こしているから、政府に対して生成AIの規制を一刻も早く求めて欲しい。,3745,387,2960,2960,2383,285,0.1
2160,"AIによって出力される表面上は質の高いものが芸術の価値に対して中身が伴っていない状況を引き起こしている。
一般の人々が人の熱がこもった下手な創作物を軽視しないようにして欲しい。",要望,AI,芸術の価値に対して中身が伴っていない,NA,NA,一般の人々,人の熱がこもった下手な創作物を軽視しない,AIによって芸術の価値に対して中身が伴っていないから、一般の人々に対して人の熱がこもった下手な創作物を軽視しないようにして欲しい。,4491,3124,2960,2960,148,2627,0.1
2162,"生成AIの急速な発展による変化が想像以上に速い。
社会が生成AIの急速な発展による変化を十分に受け入れる準備が完了しているべきである。",規範的主張,生成AIの急速な発展,想像以上に速い,社会,準備が完了しているべき,NA,NA,生成AIの急速な発展は想像以上に速いから、社会は準備が完了しているべきである。,4909,2290,2880,1870,2960,2960,0.2
2163,"生成AIを悪用している人たちが元となったイラストレーターに対して嫌がらせ目的で使用している状況を引き起こしている。
生成AIを悪用している人たちの取り締まりが必要である。",規範的主張,生成AIの悪用,イラストレーターへの嫌がらせ,取り締まり,必要,NA,NA,生成AIの悪用がイラストレーターへの嫌がらせを引き起こしているから、取り締まりが必要である。,0,14,972,39,2960,2960,0.2
2165,"生成AIを規制しない法案が日本のクリエイターや芸術家の権利や意欲に対して損害し芸術文化の大きな衰退を引き起こしている。
政府が適切な規制を求める。",規範的主張,法案が損害,芸術文化の衰退,政府,適切な規制,NA,NA,法案が芸術文化の衰退を引き起こしているから、政府は適切な規制を求めるべきである。,4483,361,2383,2904,2960,2960,0.1
2166,"AIによって生成された創作物の生成に必要なプロンプトが創作物に対して必ずしも同一とは限らない状況を引き起こしている。
AIによって生成された創作物が従来の創作物と区別されるべきである。",規範的主張,AI生成物,創作物と区別,従来の創作物,区別されるべき,NA,NA,AI生成物は創作物と区別だから従来の創作物が区別されるべきである。,0,605,771,1016,2960,2960,0.2
2167,"生成AIがクリエイターに対して仕事を失って路頭に迷う状況を引き起こしている。
規制機関が生成AIを規制もしくは免許制にして欲しい。",要望,生成AIがクリエイターに対して,仕事を失って路頭に迷う状況,NA,NA,規制機関,生成AIを規制もしくは免許制にして欲しい,生成AIがクリエイターに対して仕事を失って路頭に迷う状況だから、規制機関に対して生成AIを規制もしくは免許制にして欲しい。,0,4547,2960,2960,2613,115,0.1
2168,"生成AIがイラスト関係の仕事に対して奪っている。
イラストレーターさん達がその素材を使わないでほしい。",要望,生成AIがイラスト関係の仕事,奪っている,NA,NA,イラストレーターさん達,その素材を使わないでほしい,生成AIがイラスト関係の仕事を奪っているから、イラストレーターさん達に対してその素材を使わないで欲しい。,0,4257,2960,2960,202,3870,0.1
2169,"生成AIで大量生成された生成物が後発の人の手による作品に対して類似性を主張し権利訴訟を行う悪質な行為の温床になっている。
生成AIで大量生成された生成物が著作物として保持すべきではない。",規範的主張,生成AIで大量生成された生成物,権利訴訟を行う悪質な行為の温床,生成物,著作物として保持すべきではない,NA,NA,生成AIで大量生成された生成物が権利訴訟を行う悪質な行為の温床であるから、生成物は著作物として保持すべきではない。,4719,2569,112,4872,2960,2960,0.1
2170,"AIによる画像データ及び音声データ等の利用がイラストや音声を用いた仕事をしている人に対して職を奪うことに繋がっている。
日本におけるAIのデータ利用に関する整備が必要である。",規範的主張,AIの利用,職を奪うこと,データ利用の整備,必要,NA,NA,AIの利用が職を奪うことに繋がっているから、日本におけるデータ利用の整備が必要である。,13,164,3504,39,2960,2960,0.1
2171,"生成AIがクリエイターの技術に対して被害を引き起こしている。
生成AIが免許制にすべきである。",規範的主張,生成AI,クリエイターの技術に対して被害,生成AI,免許制,NA,NA,生成AIがクリエイターの技術に対して被害を引き起こしているから、生成AIは免許制であるべきである。,0,2052,0,3188,2960,2960,0.2
2172,"イラスト、写真、音声のデータが権利者に対して還元されていない状況を引き起こしている。
生成されたイラスト、写真、音声のデータに対する権利者の扱いが改善されるべきである。",規範的主張,イラスト、写真、音声のデータ,権利者に対して還元されていない,権利者の扱い,改善されるべき,NA,NA,イラスト、写真、音声のデータが権利者に対して還元されていないから、権利者の扱いが改善されるべきである。,853,4458,1680,29,2960,2960,0.1
2173,"AIによる生成技術が明らかに未成熟である。
AIによる生成技術の濫用が規制・法整備を望む。",規範的主張,AIによる生成技術,未成熟である,規制・法整備,望ましい,NA,NA,AIによる生成技術が未成熟であるから規制・法整備が望ましい。,10,3101,5,4134,2960,2960,0.1
2175,"スタンフォード大学の調査が児童の性的虐待の画像が数多く含まれていることを明らかにしている。
児童の性的虐待の画像が含まれているデータセットが使用不可である。",規範的主張,スタンフォード大学の調査,児童の性的虐待の画像が数多く含まれている,データセットの使用,不可,NA,NA,スタンフォード大学の調査が児童の性的虐待の画像が数多く含まれているから、データセットの使用は不可であるべきである。,2220,3287,5094,778,2960,2960,0.1
2176,"最近の生成AIによるデータの無断使用や意図的に既にある著作物に似せての販売が物作り等に対して利用されることを理由に辞めてしまう人が出てきている状況を引き起こしているか。
AIと著作権が再考されるべきである。",規範的主張,生成AIによるデータの無断使用,物作り等に対して利用されること,AIと著作権,再考されるべき,NA,NA,生成AIによるデータの無断使用が物作り等に対して利用されることから、AIと著作権が再考されるべきである。,4606,2831,0,3803,2960,2960,0.1
